0,-14,247,2
1,-13,251,2
2,-13,245,2
3,-14,245,2
4,-14,246,2
5,-13,243,2
6,-13,246,2
7,-13,249,2
8,-14,246,2
9,-14,245,2
10,-15,248,2
11,-15,246,2
12,-15,248,2
13,-17,249,2
14,-19,246,2
15,-22,227,2
16,-28,218,2
17,-31,221,2
18,-30,215,2
19,-25,224,2
20,-16,259,2
21,-12,247,2
22,-13,255,2
23,-12,251,2
24,-12,235,2
25,-19,243,2
26,-19,234,2
27,-19,277,2
28,-20,286,2
29,-15,251,2
30,-14,256,2
31,-22,292,2
32,-35,243,2
33,-45,138,2
34,-51,78,2
35,-46,81,2
36,-36,167,2
37,-31,209,2
38,-29,164,2
39,-30,76,2
40,-33,205,2
41,-32,225,2
42,-28,239,2
43,-24,228,2
44,-18,238,2
45,-11,267,2
46,-10,252,2
47,-8,253,2
48,-7,261,2
49,-8,245,2
50,-10,261,2
51,-12,270,2
52,-13,315,2
53,-10,291,2
54,-11,312,2
55,-22,244,2
56,-34,207,2
57,-44,118,2
58,-47,105,2
59,-42,146,2
60,-35,147,2
61,-30,187,2
62,-27,123,2
63,-28,161,2
64,-32,209,2
65,-34,271,2
66,-34,208,2
67,-31,203,2
68,-24,266,2
69,-16,229,2
70,-14,226,2
71,-11,264,2
72,-9,263,2
73,-9,255,2
74,-14,271,2
75,-16,298,2
76,-14,253,2
77,-12,289,2
78,-19,265,2
79,-33,234,2
80,-44,178,2
81,-46,69,2
82,-38,98,2
83,-33,167,2
84,-31,188,2
85,-30,44,2
86,-36,228,2
87,-35,198,2
88,-28,241,2
89,-22,234,2
90,-16,245,2
91,-9,257,2
92,-6,256,2
93,-5,254,2
94,-7,250,2
95,-11,246,2
96,-12,258,2
97,-12,318,2
98,-9,308,2
99,-16,244,2
100,-26,219,2
101,-37,157,2
102,-44,122,2
103,-45,114,2
104,-39,147,2
105,-33,182,2
106,-29,211,2
107,-27,226,2
108,-27,485,2
109,-33,207,2
110,-34,219,2
111,-29,227,2
112,-20,244,2
113,-12,264,2
114,-8,258,2
115,-9,247,2
116,-9,252,2
117,-10,252,2
118,-14,252,2
119,-15,266,2
120,-17,345,2
121,-17,287,2
122,-19,252,2
123,-28,168,2
124,-34,133,2
125,-36,136,2
126,-32,190,2
127,-23,241,2
128,-16,249,2
129,-10,287,2
130,-7,223,2
131,-6,231,2
132,-5,227,2
133,-6,261,2
134,-6,255,2
135,-6,242,2
136,-7,259,2
137,-5,260,2
138,-8,248,2
139,-9,249,2
140,-8,252,2
141,-7,239,2
142,-6,253,2
143,-6,246,2
144,-5,244,2
145,-5,244,2
146,-3,247,2
