0,-17,242,0
1,-20,238,0
2,-21,246,0
3,-19,230,0
4,-18,245,0
5,-14,250,0
6,-14,243,0
7,-14,248,0
8,-13,242,0
9,-15,247,0
10,-15,246,0
11,-16,240,0
12,-16,246,0
13,-16,237,0
14,-17,237,0
15,-18,243,0
16,-20,239,0
17,-23,226,0
18,-26,228,0
19,-30,235,0
20,-30,218,0
21,-27,229,0
22,-24,239,0
23,-21,238,0
24,-14,248,0
25,-10,243,0
26,-10,241,0
27,-13,247,0
28,-12,253,0
29,-14,261,0
30,-19,282,0
31,-16,266,0
32,-14,247,0
33,-16,309,0
34,-28,260,0
35,-40,227,0
36,-49,83,0
37,-45,50,0
38,-38,124,0
39,-33,161,0
40,-31,200,0
41,-27,485,0
42,-32,308,0
43,-31,228,0
44,-31,232,0
45,-26,233,0
46,-21,248,0
47,-17,248,0
48,-12,253,0
49,-7,254,0
50,-6,245,0
51,-6,250,0
52,-10,237,0
53,-14,246,0
54,-14,263,0
55,-12,304,0
56,-14,287,0
57,-10,320,0
58,-18,302,0
59,-32,216,0
60,-43,129,0
61,-47,116,0
62,-40,80,0
63,-27,172,0
64,-26,159,0
65,-26,-15,0
66,-30,247,0
67,-30,240,0
68,-26,231,0
69,-19,254,0
70,-13,245,0
71,-8,270,0
72,-7,258,0
73,-9,246,0
74,-9,254,0
75,-8,250,0
76,-11,252,0
77,-13,288,0
78,-14,277,0
79,-12,284,0
80,-16,273,0
81,-27,297,0
82,-41,164,0
83,-47,79,0
84,-41,89,0
85,-29,175,0
86,-24,232,0
87,-26,188,0
88,-29,-69,0
89,-32,236,0
90,-34,215,0
91,-31,222,0
92,-23,231,0
93,-15,246,0
94,-9,252,0
95,-7,249,0
96,-6,252,0
97,-7,254,0
98,-9,261,0
99,-10,259,0
100,-11,266,0
101,-14,303,0
102,-11,301,0
103,-17,250,0
104,-26,237,0
105,-37,176,0
106,-44,142,0
107,-45,114,0
108,-39,101,0
109,-32,170,0
110,-28,217,0
111,-24,196,0
112,-24,293,0
113,-27,255,0
114,-28,230,0
115,-26,233,0
116,-23,240,0
117,-17,246,0
118,-12,244,0
119,-9,252,0
120,-7,253,0
121,-6,255,0
122,-6,249,0
123,-7,276,0
124,-10,282,0
125,-11,271,0
126,-10,278,0
127,-19,260,0
128,-33,140,0
129,-40,145,0
130,-32,140,0
131,-21,200,0
132,-10,246,0
133,-3,269,0
134,0,273,1
135,1,269,1
136,-5,250,1
137,-8,255,1
138,-7,257,1
139,-6,257,1
140,-7,257,1
141,-9,251,1
142,-11,248,1
143,-12,220,1
144,-12,250,1
145,-12,244,1
146,-10,260,1
147,-9,246,1
148,-11,244,1
149,-10,243,1
150,-9,249,1
151,-9,241,1
152,-9,249,1
153,-9,245,1
154,-9,255,1
