0,1,262
1,0,259
2,-2,253
3,-2,258
4,-2,258
5,-2,254
6,-2,248
7,-2,248
8,-2,253
9,-2,253
10,-2,249
11,-2,249
12,-2,253
13,-2,253
14,-2,249
15,-2,248
16,-2,248
17,-2,249
18,-2,249
19,-2,246
20,-2,246
21,-2,252
22,-2,248
23,-2,248
24,-2,248
25,-2,248
26,-2,249
27,-2,249
28,-2,248
29,-2,248
30,-2,250
31,-2,248
32,-2,248
33,-2,250
34,-2,250
35,-2,251
36,-2,251
37,-2,250
38,-2,250
39,-1,248
40,-1,252
41,-1,252
42,-1,257
43,-1,257
44,-1,249
45,-1,249
46,-1,253
47,-1,253
48,-1,249
49,-1,253
50,-1,253
51,-1,258
52,-1,258
53,-1,251
54,-1,251
55,-1,249
56,-1,249
57,-1,249
58,-1,252
59,-1,252
60,0,251
61,0,251
62,0,254
63,0,254
64,0,260
65,0,256
66,0,256
67,0,253
68,0,253
69,0,253
70,0,253
71,0,256
72,0,254
73,0,254
74,0,246
75,0,246
76,0,247
77,0,247
78,-1,247
79,-1,247
80,-1,246
81,-1,254
82,-1,254
83,-1,250
84,-1,250
85,-1,249
86,-1,249
87,-1,251
88,-1,251
89,-1,247
90,0,252
91,0,252
92,0,248
93,0,248
94,0,250
95,1,250
96,1,250
97,1,250
98,1,252
99,1,253
100,1,253
101,2,252
102,2,252
103,2,254
104,2,254
105,2,251
106,2,254
107,2,254
108,2,256
109,2,256
110,2,253
111,2,253
112,2,256
113,2,256
114,2,258
115,2,261
116,2,261
117,2,261
118,3,261
119,3,260
120,3,260
121,3,258
122,4,258
123,4,254
124,4,244
125,4,244
126,4,244
127,3,244
128,3,251
129,3,251
130,3,266
131,2,266
132,2,258
133,1,253
134,1,253
135,0,252
136,0,252
137,0,248
138,-1,248
139,-1,259
140,-2,259
141,-2,248
142,-3,247
143,-4,247
144,-4,246
145,-5,246
146,-5,243
147,-5,243
148,-6,244
149,-6,244
150,-7,250
151,-7,254
152,-8,254
153,-8,240
154,-8,240
155,-9,241
156,-9,241
157,-9,234
158,-9,234
159,-9,223
160,-9,246
161,-9,246
162,-9,267
163,-9,267
164,-9,263
165,-9,263
166,-9,249
167,-9,249
168,-9,249
169,-9,246
170,-9,246
171,-9,243
172,-9,243
173,-9,247
174,-9,247
175,-9,255
176,-9,250
177,-10,250
178,-10,246
179,-10,246
180,-11,246
181,-11,246
182,-11,242
183,-11,242
